ID;Ship;Country;Type;Tahun Produksi;Fate
310;Cape Gloucester;USA;Commencement Bay-class escort carrier;05-Mar-45;decommissioned 1946, scrapped 1971
311;Caperton;USA;Fletcher-class destroyer;30-Jun-43;decommissioned 1960, sunk as target
312;Capetown;UK;C class light cruiser;10-Apr-22;Scrapped June 1946
313;Capitan O'Brien;Chile;Capitan O'Brien class submarine;1929;1957
314;Capitan Thompson;Chile;Capitan O'Brien class submarine;1929;1958
315;Capps;USA;Fletcher-class destroyer;23-Jun-43;To Spain 1957, scrapped 1985
316;Caradoc;UK;C class light cruiser;15-Jun-17;scrapped 1946
317;Card;USA;Bogue-class escort carrier;08-Nov-42;scrapped 1971
318;Cardiff;UK;C class light cruiser;25-Jun-17;scrapped 1946
319;Carinthia;UK;Armed Merchant Cruiser;Aug-39;torpedoed 6 June 1940, foundered the next day
320;Carlisle;UK;C class light cruiser;11-Nov-18;constructive total loss 9 October 1942, scrapped 1948
321;Carlson;USA;Evarts class destroyer escort;10-May-43;scrapped 1946
322;Carmick;USA;Gleaves class destroyer;28-Dec-42;decommissioned 1954, scrapped 1972
323;Carroll;USA;Cannon class destroyer escort;24-Oct-43;decommissioned 1946, scrapped 1966
324;Carter;USA;Cannon class destroyer escort;03-May-44;to Republic of China 1948, scrapped 1973
325;Casablanca;USA;Casablanca class escort aircraft carrier;08-Jul-43;Decommissioned 10 June 1946, scrapped 1947
326;Case;USA;Mahan class destroyer;15-Sep-36;scrapped 1948
327;Cassin;USA;Mahan class destroyer;21-Aug-36;"destroyed 7 December 1941 but ""rebuilt,"" scrapped 1948"
328;Cassin Young;USA;Fletcher-class destroyer;31-Dec-43;decommissioned 1960, museum ship at Boston, MA
329;Castleton;USA�UK;Town class destroyer;09-Sep-40;scrapped 1947
330;Catamarca;Argentina;Catamarca class destroyer;1912;Sold 1959
331;Cates;USA;Cannon class destroyer escort;15-Dec-43;to France 1950, scrapped 1959
332;Cauvery;India;Modified Black Swan class sloop;;
333;Cavalla;USA;Gato class submarine;29-Feb-44;"decommissioned 1968; museum at Galveston Texas"
334;Cecil J. Doyle;USA;Butler class destroyer escort;16-Oct-44;decommissioned 1946, sunk as target 1967
335;Ceres;UK;C class light cruiser;01-Jun-17;scrapped 1946
336;Cervantes;Argentina;Cervantes class destroyer;;Discarded 24 June 1961
337;Ceylon;UK;Fiji class cruiser;13-Jul-43;sold to Peru 1959, renamed Colonel Bolognesi
338;Chacabuco;Chile;Presidente Errazuriz class cruiser;;Discarded 1952
339;Chaffee;USA;Rudderow class destroyer escort;09-May-44;decommissioned 1946, scrapped 1948
340;Chambers;USA;Edsall class destroyer escort;24-Nov-43;scrapped 1975
341;Champlin;USA;Benson class destroyer;12-Sep-42;decommissioned 1947, scrapped 1972
342;Chao Ho;China;Chao Ho class cruiser;23-Oct-11;sunk 28 September 1937
343;Chandler;USA;Clemson class destroyer-minesweeper;05-Sep-19;scrapped 1946
344;Charger;UK/�USA;Avenger class;02-Oct-41;to USN 4 October 1941, sold as merchant 1947
345;Charles Ausburne;USA;Fletcher-class destroyer;24-Nov-42;to West Germany 1960, scrapped 1968
346;Charles E. Brannon;USA;Butler class destroyer escort;01-Nov-44;decommissioned 1960, scrapped 1969
347;Charles F. Hughes;USA;Benson class destroyer;05-Sep-40;decommissioned 1946, sunk as target 1969
348;Charles J. Badger;USA;Fletcher-class destroyer;23-Jul-43;decommissioned 1957, scrapped 1974
349;Charles J. Kimmel;USA;Rudderow class destroyer escort;20-Apr-44;decommissioned 1947, sunk as target 1969
350;Charles Lawrence;USA;Buckley class destroyer escort;31-May-43;scrapped 1965
351;Charles P. Cecil;USA;Gearing class destroyer;29-Jun-45;to Greece 1980, scrapped 2003
352;Charles R. Greer;USA;Evarts class destroyer escort;25-Jun-43;scrapped 1947
353;Charles R. Ware;USA;Gearing class destroyer;21-Jul-45;decommissioned 1974, sunk as target 1981
354;Charles S. Sperry;USA;Sumner class destroyer;17-May-44;to Chile 1974, scrapped 1990
355;Charlestown;USA�UK;Town class destroyer;23-Sep-40;scrapped 1947[2]
356;Charrette;USA;Fletcher-class destroyer;18-May-43;to Greece 1959, museum ship at Athens
357;Chase;USA;Buckley class destroyer escort;18-Jul-43;scrapped 1946
358;Chaser;UK;Attacker class escort aircraft carrier;09-Apr-43;Returned to USN 12 May 1946, sold into merchant service 20 December 1946 as Aagtekerk
359;Chatelain;USA;Edsall class destroyer escort;22-Sep-43;scrapped 1974
360;Chauncey;USA;Fletcher-class destroyer;31-May-43;decommissioned 1954, scrapped 1972
361;Chelsea;USA�UK�Canada�USSR;Town class destroyer;09-Sep-40;to Canada Nov 1942, to USSR July 1944 as Derzkiy
362;Chenango;USA;Sangamon-class escort carrier;20-Jun-41;decommissioned 1946, scrapped 1960
363;Chervona Ukraina;USSR;Svetlana class light cruiser;03-Oct-13;Sunk 12 November 1941
364;Chester;USA;Northampton class heavy cruiser;24-Jun-30;scrapped 1959
365;Chester T. O'Brien;USA;Butler class destroyer escort;03-Jul-44;decommissioned 1959, scrapped 1974
366;Chesterfield;USA�UK;Town class destroyer;09-Sep-40;scrapped 1947
367;Chevalier�(DD-451);USA;Fletcher-class destroyer;20-Jun-42;sunk 7 October 1943
368;Chevalier (II);USA;Gearing class destroyer;09-Jan-45;to South Korea 1977
369;Chew;USA;Wickes class destroyer;12-Dec-18;scrapped 1946
370;Chicago (I);USA;Northampton class heavy cruiser;09-Mar-31;sunk 30 January 1943
371;Chicago (II);USA;Baltimore class heavy cruiser;10-Jan-45;converted to missile cruiser 1964, decommissioned 1980, scrapped 1992
372;Chikuma;Japan;Tone class heavy cruiser;30-May-39;sunk 25 October 1944
373;Chitose;Japan;Chitose class aircraft carrier;25-Jul-38;sunk 25 October 1944
374;Chiyoda;Japan;Chitose class aircraft carrier;15-Dec-38;sunk 25 October 1944
375;Ch?kai;Japan;Takao class heavy cruiser;1932;sunk 25 October 1944
376;Christopher;USA�Brazil;Cannon class destroyer escort;23-Oct-43;to Brazil 19 December 1944 as Benevente
377;Churchill;USA�UK�USSR;Town class destroyer;09-Sep-40;to USSR as Deyatelny 16 July 1944, sunk 16 January 1945
378;Ch?y?;Japan;Taiy? class aircraft carrier;25-Nov-42;sunk 4 December 1943
379;Cincinnati;USA;Omaha class light cruiser;01-Jan-24;scrapped 1946
380;Clare;USA�UK;Town class destroyer;09-Sep-40;scrapped 1945
381;Clarence K. Bronson;USA;Fletcher-class destroyer;11-Jun-43;to Turkey 1967, scrapped 1987
382;Clarence L. Evans;USA;Cannon class destroyer escort;25-Jun-44;to France 1952, scrapped 1960
383;Clark;USA;Porter class destroyer leader;20-May-36;scrapped 1946
384;Claxton (I);USA/�UK/�Canada;Wickes class destroyer;13-Sep-19;to UK 5 December 1940 as HMS (later HMCS) Salisbury
385;Claxton;USA;Fletcher-class destroyer;08-Dec-42;To West Germany 1959
386;Clemson;USA;Clemson class sea plane tender, destroyer & high speed transport;29-Dec-19;Decommissioned 12 October 1945
387;Cleveland;USA;Cleveland class light cruiser;15-Jun-42;decommissioned 7 February 1947, scrapped 1960
388;Clive;India;24 class sloop;20-Apr-20;Scrapped 1947
389;Cloues;USA;Evarts class destroyer escort;10-Aug-43;scrapped 1947
390;Coates;USA;Rudderow class destroyer escort;24-Jan-44;decommissioned 1970, sunk as target 1971
391;Cockrill;USA;Edsall class destroyer escort;24-Dec-43;decommissioned 1946, sunk as target 1974
392;Codrington;UK;A class destroyer leader;04-Jun-30;sunk 27 July 1940
393;Cofer;USA;Buckley class destroyer escort;18-Jan-44;decommissioned 1946, scrapped 1968
394;Coffman;USA;Cannon class destroyer escort;27-Dec-43;decommissioned 1946, scrapped 1973
395;Coghlan;USA;Benson class destroyer;10-Jul-42;decommissioned 1947, scrapped 1974
396;Cogswell;USA;Fletcher-class destroyer;17-Aug-43;to Turkey 1969, scrapped 1980
397;Colahan;USA;Fletcher-class destroyer;23-Aug-43;sunk as target 1966
398;Colbert;France;Suffren class heavy cruiser;04-Mar-31;scuttled 27 November 1942
399;Cole;USA;Wickes class destroyer;19-Jun-19;scrapped 1947
400;Colhoun (I);USA;Wickes class destroyer, converted to a fast transport;13-Jun-18;sunk 30 August 1942
401;Colhoun�(DD-801);USA;Fletcher-class destroyer;08-Jul-44;Sunk 6 April 1945
402;Collett;USA;Sumner class destroyer;16-May-44;to Argentina 1974
403;Colombo;UK;C class light cruiser;18-Jun-19;scrapped 1948
404;Colossus;UK;Colossus class aircraft carrier;16-Dec-44;transferred to France, renamed Arromanches 6 August 1946
405;HMCS Columbia;USA�Canada;Town class destroyer;24-Sep-40;scrapped 1945
406;USS Columbia;USA;Cleveland class light cruiser;29-Jul-42;scrapped 1959
407;Columbus;USA;Baltimore class heavy cruiser;08-Jun-45;converted to missile cruiser 1962, scrapped 1977
408;Combattante;Free France;Hunt class Escort destroyer;30-Dec-42;sunk 23 February 1945
409;Commencement Bay;USA;Commencement Bay class escort carrier;27-Nov-44;Decommissioned 30 November 1946, scrapped 1971
410;Compton;USA;Sumner class destroyer;04-Nov-44;to Brazil 1972, scrapped 1990
411;Concord;USA;Omaha class light cruiser;03-Nov-23;scrapped 1947
412;Cone;USA;Gearing class destroyer;18-Aug-45;to Pakistan 1982, scrapped 1998
413;Conklin;USA;Butler class destroyer escort;21-Apr-44;decommissioned 1946, scrapped 1972
414;Conner (I);USA/�UK;Caldwell class destroyer;12-Jan-18;To UK as HMS Leeds, 23 October 1940
415;Conner�(DD-582);USA;Fletcher-class destroyer;08-Jun-43;to Greece 1959, scrapped 1997
416;Connolly;USA;Evarts class destroyer escort;08-Jul-44;scrapped 1947
417;ORP Conrad ex. HMS Danae;UK, then �Poland;D class cruiser;04-Oct-44;returned to Royal Navy 28 September 1946, scrapped Mar 1948
418;Conte di Cavour;Italy;Conte di Cavour-class battleship;1915;Decommissioned 18 May 1928
419;Converse;USA;Fletcher-class destroyer;20-Nov-42;to Spain 1959, scrapped 1988
420;Conway (ex-Craven) (I);USA/�UK;Caldwell class destroyer;19-Oct-18;To UK as HMS Lewes, 23 October 1940
421;Conway�(DD-507);USA;Fletcher-class destroyer;09-Oct-42;sunk as target 1970
422;Cony;USA;Fletcher-class destroyer;30-Oct-42;sunk as target 1970
423;Conyngham;USA;Mahan class destroyer;04-Nov-36;scuttled 1948 after A-bomb test
424;Coolbaugh;USA;Buckley class destroyer escort;15-Oct-43;decommissioned 1960, scrapped 1973
425;Cooner;USA;Cannon class destroyer escort;21-Aug-43;decommissioned 1946, scrapped 1973
426;Cooper;USA;Sumner class destroyer;09-Feb-44;sunk 3 December 1944
427;Copahee;USA;Bogue-class escort carrier;15-Jun-42;decommissioned 1946, scrapped 1961
428;Coral Sea (later Anzio);USA;Casablanca-class escort carrier;27-Aug-43;decommissioned 1946, scrapped 1959
429;Corbesier;USA;Butler class destroyer escort;31-Mar-44;decommissioned 1946, scrapped 1974
430;Core;USA;Bogue-class escort carrier;10-Dec-42;decommissioned 1946, scrapped 1971
431;Cornwallis;India;Cornwallis class sloop;1921;Scrapped 1946
432;Corregidor;USA;Casablanca-class escort carrier;31-Aug-43;scrapped 1959
433;Corry;USA;Gleaves class destroyer;18-Dec-41;sunk 6 June 1944
434;Cossack;UK;Tribal class destroyer;07-Jun-38;sunk 24 October 1941
435;Coronel;German;auxiliary cruiser;13-Aug-38;ran aground 21 November 1984
436;Corrientes;Argentina;Buenos Aires class destroyer;;Lost 3 October 1941
437;Cotten;USA;Fletcher-class destroyer;24-Jul-43;decommissioned 1960, scrapped 1975
438;Courageous;UK;Glorious-class aircraft carrier;04-Nov-16;sunk 17 September 1939
439;Courbet;France�Free France;Courbet-class battleship;Nov-13;"scuttled as a ""Gooseberry"" breakwater 6 June 1944"
440;Cowell (I);USA/�UK/�USSR;Wickes class destroyer;17-Mar-19;to RN 23 September 1940 as HMS Brighton (later to USSR as Zharkiy)
441;Cowell�(DD-547);USA;Fletcher-class destroyer;23-Aug-43;to Argentina 1971, scrapped 1982
442;Cowpens;USA;Independence class light carrier;28-May-43;decommissioned 13 January 1947, scrapped 1960
443;Coventry;UK;C class light cruiser;21-Feb-18;lost 14 September 1942
444;Cowie;USA;Gleaves class destroyer;01-Jun-42;decommissioned 1947, scrapped 1972
445;Crane;USA;Wickes class destroyer;18-Apr-19;scrapped 1946
446;Craven;USA;Gridley class destroyer;02-Sep-37;scrapped 1947
447;Croatan;USA;Bogue-class escort carrier;28-Apr-43;decommissioned 1946, scrapped 1971
448;Croix de Lorraine;UK�Free France;River class frigate;25-Sep-44;Decommissioned 1961
449;Cronin;USA;Buckley class destroyer escort;05-May-44;sunk as target 1971
450;Crosby;USA;Wickes class destroyer and destroyer-transport;24-Jan-19;scrapped 1946
451;Cross;USA;Butler class destroyer escort;08-Jan-45;decommissioned 1958, scrapped 1968
452;Crouter;USA;Evarts class destroyer escort;25-May-43;scrapped 1947
453;Crowninshield;USA�UK�Canada�USSR;Wickes class destroyer;24-Jul-19;to RN 9 September 1940 as HMS (later HMCS) Chelsea, then to USSR as Derzkiy
454;Crowley;USA;Evarts class destroyer escort;25-Mar-44;scrapped 1947
455;Cuba;Cuba;sloop;1911;stricken 1971
456;Cummings;USA;Mahan class destroyer;25-Nov-36;scrapped 1947
457;Curacoa;UK;C class light cruiser;18-Feb-18;lost 2 October 1942
458;Curlew;UK;C class light cruiser;14-Dec-17;lost 26 May 1940
459;Currier;USA;Buckley class destroyer escort;01-Feb-44;sunk as target 1967
460;Cushing (I);USA;Mahan class destroyer;28-Aug-36;sunk 13 November 1942
461;Cushing�(DD-797);USA;Fletcher-class destroyer;17-Jan-44;to Brazil 1961, scrapped 1982
462;Dahlgren;USA;Clemson-class destroyer;06-Jan-20;scrapped 1946
463;Dale;USA;Farragut class destroyer;17-Jun-35;scrapped 1947
464;Dale W. Peterson;USA;Edsall-class destroyer escort;17-Feb-44;decommissioned 1946, scrapped 1972
465;Dallas;USA;Clemson-class destroyer;29-Oct-20;scrapped 1945
466;Daly;USA;Fletcher-class destroyer;24-Oct-42;decommissioned 1960, scrapped 1976
467;Damon M. Cummings;USA;Buckley-class destroyer escort;29-Jun-44;decommissioned 1947, scrapped 1973
468;Daniel;USA;Edsall-class destroyer escort;24-Jan-44;decommissioned 1946, scrapped 1974
469;Daniel A. Joy;USA;Rudderow-class destroyer escort;28-Apr-44;scrapped 1966
470;Daniel T. Griffin;USA;Buckley-class destroyer escort;09-Jun-43;to Chile 1966
471;Darby;USA;Buckley-class destroyer escort;15-Nov-43;sunk as target 1970
472;Dasher;UK;Avenger class escort aircraft carrier;02-Jul-42;sunk 27 March 1943
473;Dashiell;USA;Fletcher-class destroyer;20-Mar-43;decommissioned 1960, scrapped 1975
474;Dauntless;UK;Danae class cruiser;10-Apr-18;scrapped 1946
475;David W. Taylor;USA;Fletcher-class destroyer;18-Sep-43;to Spain 1957, scrapped 1987
476;Davis;USA;Somers class destroyer leader;09-Nov-38;scrapped 1947
477;Davison;USA;Gleaves class destroyer;11-Sep-42;decommissioned 1949, scrapped 1973
478;Day;USA;Rudderow-class destroyer escort;10-Jun-44;
479;Dayton;USA;Cleveland class light cruiser;07-Jan-45;scrapped 1962
480;Decatur;USA;Clemson-class destroyer;Aug-22;scrapped 1945
481;Decker;USA�China;Evarts-class destroyer escort;03-May-43;"to Republic of China as Tai Ping 28 August 1945; sunk in action 1954"
482;D�couverte;Free France;River class frigate;Feb-44;Decommissioned 1959
483;Decoy;UK;D-class destroyer;04-Apr-33;Transferred to RCN 12 April 1943, renamed HMCS Kootenay, broken up Jan 1946
484;Deede;USA;Evarts-class destroyer escort;29-Jul-43;scrapped 1947
485;De Haven (I);USA;Fletcher-class destroyer;21-Jun-42;sunk 1 February 1943
486;De Haven (II);USA;Sumner-class destroyer;31-Mar-44;to South Korea 1973, scrapped 1993
487;Delhi;UK;Danae class cruiser;Jun-19;scrapped 1948
488;DeLong;USA;Rudderow-class destroyer escort;31-Dec-43;sunk as target 1970
489;Dempsey;USA;Evarts-class destroyer escort;23-Jul-43;scrapped 1947
490;Dennis;USA;Butler-class destroyer escort;20-Mar-44;decommissioned 1946, scrapped 1973
491;Dennis J. Buckley;USA;Gearing-class destroyer;02-Mar-45;scrapped 1974
492;Dent;USA;Wickes-class destroyer;09-Sep-18;scrapped 1946
493;Denver;USA;Cleveland class light cruiser;15-Oct-42;scrapped 1960
494;De Ruyter;Netherlands;De Ruyter class cruiser;03-Oct-36;sunk 28 February 1942
495;Despatch;UK;Danae class cruiser;02-Jun-22;scrapped 1946
496;Detroit;USA;Omaha class light cruiser;31-Jul-23;scrapped 1946
497;Deutschland;German;Deutschland class heavy cruiser;01-Apr-33;renamed L�tzow
498;Devonshire;UK;County class cruiser;18-Mar-29;scrapped Dec 1954
499;Dewey;USA;Farragut class destroyer;14-Oct-34;scrapped 1946
500;Dickerson;USA;Wickes-class destroyer and destroyer-transport;03-Sep-19;sunk 4 April 1945
501;Diether von Roeder;German;Type 1936 destroyer;29-Aug-38;sunk 13 April 1940
502;Diomede;UK;Danae class cruiser;24-Apr-22;scrapped 1946
503;Dionne;USA;Evarts-class destroyer escort;16-Jul-43;scrapped 1947
504;Dobler;USA;Evarts-class destroyer escort;17-May-43;scrapped 1946
505;Doherty;USA;Evarts-class destroyer escort;06-Feb-43;scrapped 1946
506;Donaldson;USA;Evarts-class destroyer escort;01-Dec-43;scrapped 1946
507;Doneff;USA;Evarts-class destroyer escort;10-Jun-43;scrapped 1947
508;Donnell;USA;Buckley-class destroyer escort;26-Jun-43;damaged Aug 1943 and converted to power barge, scrapped 1946
509;Doran;USA;Gleaves class destroyer;04-Aug-42;decommissioned 1947, scrapped 1973
510;Dorsey;USA;Wickes-class destroyer;16-Sep-18;grounded in typhoon, 9 October 1945
511;Dortch;USA;Fletcher-class destroyer;07-Aug-43;to Argentina 1961, scrapped 1977
512;Douglas A. Munro;USA;Butler-class destroyer escort;11-Jul-44;decommissioned 1960, sunk as target 1966
513;Douglas H. Fox;USA;Sumner-class destroyer;26-Dec-44;to Chile 1974, sunk as target 1998
514;Douglas L. Howard;USA;Edsall-class destroyer escort;29-Jul-43;decommissioned 1946, scrapped 1974
515;Downes;USA;Mahan class destroyer;15-Jan-37;"destroyed 7 December 1941 but ""rebuilt,"" scrapped 1948"
516;Doyle;USA;Gleaves class destroyer;27-Jan-43;decommissioned 1955, scrapped 1972
517;Doyle C. Barnes;USA;Butler-class destroyer escort;13-Jul-44;decommissioned 1947, scrapped 1973
519;Dragon;UKthen �Poland;Danae class cruiser;Aug-18;"damaged, then used as a blockship in ""Gooseberry"" breakwater, July 1944"
520;Drayton;USA;Mahan class destroyer;01-Sep-36;scrapped 1947
521;Drexler;USA;Sumner-class destroyer;14-Nov-44;sunk 28 May 1945
522;Drum;USA;Gato class submarine;01-Nov-41;"decommissioned 1967; museum at Mobile, Alabama"
523;Duffy;USA;Evarts-class destroyer escort;05-Aug-43;scrapped 1947
524;Dufilho;USA;Butler-class destroyer escort;21-Jul-44;decommissioned 1946, scrapped 1973
525;Duguay-Trouin;France�Free France;Duguay-Trouin class light cruiser;02-Nov-26;decommissioned 9 March 1952
526;Duke of York;UK;King George V-class battleship;28-Feb-40;scrapped 1957
527;Duluth;USA;Cleveland class light cruiser;18-Sep-44;scrapped 1960
528;Duncan (I);USA;Gleaves class destroyer;16-Apr-42;sunk 12 October 1942
529;Duncan (II);USA;Gearing-class destroyer;25-Feb-45;decommissioned 1971, sunk as target 1980
530;Dundee;UK;Shoreham class sloop;31-Mar-33;Torpedoed and sunk 15 September 1940
531;Dunedin;UK;Danae class cruiser;19-Nov-18;lost 24 November 1941
532;Dunkerque;France;Dunkerque-class battleship;15-Apr-37;scuttled 27 November 1942
533;Dunlap;USA;Mahan class destroyer;12-Jun-37;scrapped 1948
534;Dunvegan Castle;UK;Armed merchant cruiser;07-Sep-39;sunk 28 August 1940
535;Dupleix;France;Suffren class heavy cruiser;07-Jul-32;scuttled 27 November 1942
536;Du Pont;USA;Wickes-class destroyer;30-Apr-19;scrapped 1947
537;Duquesne;France�Free France;Duquesne class heavy cruiser;06-Dec-28;condemned 1955
538;Durban;UK;Danae-class cruiser;01-Nov-21;"""Gooseberry"" breakwater blockship, 9 June 1944"
539;Durant;USA;Edsall-class destroyer escort;17-Feb-44;decommissioned 1964, scrapped 1974
540;Durik;USA;Buckley-class destroyer escort;16-Nov-43;decommissioned 1946, scrapped 1967
541;Dyess;USA;Gearing-class destroyer;21-May-45;scrapped 1981
542;Dyson;USA;Fletcher-class destroyer;30-Dec-42;to West Germany 1960, scrapped 1982
543;Eagle;UK;aircraft carrier;26-Feb-24;sunk 11 August 1942
544;Earle;USA;Gleaves class destroyer;01-Sep-42;decommissioned 1947, scrapped 1970
545;Eberle;USA;Gleaves class destroyer;04-Dec-40;Transferred to Greece, 22 January 1951, scrapped 1972
546;Edinburgh;UK;Town class light cruiser;06-Jul-39;lost 2 May 1942
547;Edison;USA;Gleaves class destroyer;31-Jan-41;decommissioned 1946, scrapped 1966
548;Edwards;USA;Gleaves class destroyer;18-Sep-42;decommissioned 1946, scrapped 1973
549;Eidsvold;Norway;coastal defence ship;1901;sunk 9 April 1940
550;El Amir Farouq;Kingdom of Egypt;patrol vessel;;
551;El Dorado;USA;Mount McKinley class amphibious force command ship;25-Aug-44;Decommissioned 8 November 1972, scrapped 1976
552;Ellet;USA;Benham class destroyer;17-Feb-39;scrapped 1947
553;Elli;Greece;Chao Ho class protected cruiser;Nov-13;sunk 15 August 1940
554;Ellyson;USA;Gleaves class destroyer;28-Nov-41;to Japan 1954, scrapped 1970
555;Emanuele Filiberto Duca d'Aosta;Italy;Duca d'Aosta class light cruiser;13-Jul-35;ceded to USSR 1949, renamed Kerch, scrapped in 1960s
556;Emden;German;light cruiser;Oct-25;scuttled 3 May 1945
557;Emerald;UK;Emerald class light cruiser;14-Jan-26;scrapped July 1948
558;�mile Bertin;France�Free France;�mile Bertin class light cruiser;28-Jan-35;scrapped 1959
559;Emmons;USA;Gleaves class destroyer;05-Dec-41;sunk 6 April 1945
560;Emperor;UK;Ruler class escort aircraft carrier;06-Aug-43;Returned to USN 12 February 1946, sold for scrap 26 November 1947
561;Empire MacAlpine;UK;Empire class merchant aircraft carrier and grain carrier;14-Apr-43;"transferred to merchant service post-war; renamed Derryname"
562;Empire MacAndrew;UK;Empire class merchant aircraft carrier and grain carrier;07-Jul-43;"transferred to merchant service post-war; renamed Derryheen"
563;Empire MacCabe;UK;Empire class merchant aircraft carrier and oil tanker;Nov-43;Transferred to merchant service 1946, renamed British Escort
564;Empire MacCallum;UK;Empire class merchant aircraft carrier and grain carrier;22-Dec-43;"transferred to merchant service post-war; renamed Alpha Zambesi"
565;Empire MacColl;UK;Empire class merchant aircraft carrier and oil tanker;Nov-43;Transferred to merchant service 1946, renamed British Pilot
566;Empire MacDermott;UK;Empire class merchant aircraft carrier and grain carrier;31-Mar-44;"transferred to merchant service post-war; renamed La Cumbre"
567;Empire MacKay;UK;Empire class merchant aircraft carrier and oil tanker;05-Oct-43;Transferred to merchant service 1946, renamed British Swordfish
568;Empire MacKendrick;UK;Empire class merchant aircraft carrier and grain carrier;Dec-43;"transferred to merchant service post-war; renamed Granpond"
569;Empire MacMahon;UK;Empire class merchant aircraft carrier and oil tanker;Dec-43;Transferred to merchant service 1946, renamed Naninia
570;Empire MacRae;UK;Empire class merchant aircraft carrier and grain carrier;20-Sep-43;Returned to merchant service 1947, renamed Alpha Zambesi
571;Empress;UK;Ruler class escort aircraft carrier;09-Aug-43;Returned USN 4 February 1946, sold for scrap 21 June 1946
572;Endicott;USA;Gleaves class destroyer;25-Feb-43;decommissioned 1955, scrapped 1970
573;Enterprise;UK;Emerald class light cruiser;07-Apr-26;scrapped April 1946
574;Enterprise;USA;Yorktown class fleet carrier;12-May-38;decommissioned 1947,scrapped 1959
575;Entre Rios;Argentina;Buenos Aires class destroyer;;
576;Erebus;UK;Erebus class monitor;02-Sep-16;Scrapped July 1946
577;Erich Giese;German;Type 1934A destroyer;04-Mar-39;sunk 13 April 1940
578;Erich Koellner;German;Type 1934A destroyer;28-Mar-39;sunk 13 April 1940
579;Erich Steinbrinck;German;Type 1934A destroyer;31-May-38;"ceded to USSR, 5 November 1945, renamed Pylikiy; scrapped 1958"
580;Ericsson;USA;Gleaves class destroyer;13-Mar-41;decommissioned 1946, sunk as target 1970
581;Eritrea;Italy;sloop;1937;ceded to France 1948, renamed  Francis Garnier, expended as target 1966
582;Escarmouche;Free France;River class frigate;03-Mar-44;Decommissioned 1960
583;Eskdale;Norway;Hunt class destroyer escort destroyer;31-Jul-42;sunk 14 April 1943
584;Eskimo;UK;Tribal class destroyer;30-Dec-38;scrapped 1949
585;Essex;USA;Essex class aircraft carrier;31-Dec-42;decommissioned 30 June 1969, scrapped 1975
586;Eugenio di Savoia;Italy;Duca d'Aosta class light cruiser;16-Jan-36;ceded to Greece 1950, renamed  Elli, scrapped 1973
587;Exeter;UK;York class cruiser;23-Jul-31;sunk 1 March 1942
588;Falke;German;Raubvogel class torpedoboat;15-Aug-27;sunk 15 June 1944
589;Fall River;USA;Baltimore class heavy cruiser;01-Jul-45;decommissioned 1947, scrapped 1972
590;Fanning;USA;Mahan class destroyer;08-Oct-37;scrapped 1948
591;Farenholt;USA;Benson class destroyer;02-Apr-42;decommissioned 1946, scrapped 1972
592;Farragut;USA;Farragut class destroyer;18-Jun-34;scrapped 1947
594;Fiji;UK;Crown Colony-class cruiser;05-May-40;sunk 22 May 1941
595;Fitch;USA;Gleaves class destroyer;03-Feb-42;decommissioned 1956, sunk as target 1973
596;Fiume;Italy;Zara class heavy cruiser;1931;sunk 29 March 1941
597;Fletcher;USA;Fletcher class destroyer;30-Jun-42;Decommissioned 1 August 1969, scrapped 1972
598;USS Flint;USA;Atlanta class light cruiser;31-Aug-44;decommissioned 1947, scrapped 1966
599;Flores;Netherlands;Flores class sloop;25-Mar-26;scrapped Nov 1968
600;Flusser;USA;Mahan class destroyer;01-Oct-36;scrapped 1948
601;Foch;France;Suffren class heavy cruiser;15-Aug-31;scuttled 27 November 1942
602;Folkestone;UK;Folkestone class sloop;25-Jun-40;scrapped 22 May 1947
603;Formidable;UK;Illustrious class aircraft carrier;24-Nov-40;scrapped 1953
604;Forrest;USA;Gleaves class destroyer;13-Jan-42;scrapped 1946
605;Frankford;USA;Gleaves class destroyer;31-Mar-43;decommissioned 1946, sunk as target 1973
606;Franklin;USA;Essex class fleet carrier;31-Jan-44;Decommissioned 17 February 1947, scrapped 1964
607;Frazier;USA;Benson class destroyer;30-Jul-42;decommissioned 1946, scrapped 1972
608;Frederick C. Davis;USA;Edsall class destroyer escort;14-Jul-43;sunk 24 April 1945
609;Fredericton;Canada;Flower-class corvette;08-Dec-41;converted to fishing trawler
610;Fridtjof Nansen;Norway;Coast Guard ship;29-May-31;ran aground and sank 8 November 1940
611;Friedrich Eckholdt;German;Type 1934A destroyer;28-Jul-38;sunk 31 December 1942
612;Friedrich Ihn;German;Type 1934A destroyer;06-Apr-38;scrapped 1952
613;Frobisher;UK;Hawkins class heavy cruiser;20-Sep-24;sold for scrap March 26th, 1949
615;Fubuki;Japan;Fubuki class destroyer;10-Aug-28;sunk 11 October 1942
616;Fujinami;Japan;Y?gumo class destroyer;31-Jul-43;sunk 10 January 1945
617;Fumizuki;Japan;Mutsuki class destroyer;03-Jul-26;sunk 18 February 1944
618;Furious;UK;Glorious-class aircraft carrier;14-Oct-17;scrapped 1948
619;Furutaka;Japan;Furutaka class heavy cruiser;31-Mar-26;sunk 20 December 1942
620;Fury;UK;F class destroyer;10-Sep-34;mined 21 June 1944, not repaired
621;Fus?;Japan;Fus?-class battleship;18-Nov-15;sunk 25 October 1944
