ID;Ship;Country;Type;Tahun Produksi;Fate
1097;Russell;USA;Sims class destroyer;03-Nov-39;scrapped 1947
1098;Ryuho;Japan;aircraft carrier;;Scrapped in 1946
1099;Ry?j?;Japan;aircraft carrier;;sunk 24 August 1942
1100;Sackville;Canada;Flower-class corvette;30-Dec-41;Museum Ship in Halifax, Nova Scotia
1101;Sakawa;Japan;Agano class light cruiser;30-Nov-44;sunk as target 2 July 1946
1102;Sakura;Japan;Matsu class destroyer;25-Nov-44;sunk by mine 11 July 1945
1104;Salt Lake City;USA;Pensacola class heavy cruiser;11-Dec-29;sunk as target 1948
1105;Sampson;USA;Somers class destroyer leader;19-Aug-38;scrapped 1946
1106;USS Samuel B. Roberts;USA;Butler class destroyer escort;28-Apr-44;sunk 25 October 1944  Battle of Samar
1107;San Diego;USA;Atlanta class light cruiser;10-Jan-42;decommissioned 1946, scrapped 1960
1108;San Francisco;USA;New Orleans class heavy cruiser;10-Feb-34;Decommissioned 10 February 1946, scrapped 1959
1109;San Giorgio;Italy;San Giorgio class heavy cruiser;01-Jul-10;decommissioned 22 January 1941
1110;San Jacinto;USA;Independence class light carrier;15-Nov-43;decommissioned 1 March 1947, scrapped 1972
1111;San Juan;Argentina;Buenos Aires class destroyer;;Discarded 1973
1112;San Juan;USA;Atlanta class light cruiser;28-Feb-42;decommissioned 1946, scrapped 1961
1113;San Luis;Argentina;Buenos Aires class destroyer;;Discarded 3 May 1971
1114;Santa Cruz;Argentina;Buenos Aires class destroyer;;Discarded 1973
1115;Santa Fe;USA;Cleveland class light cruiser;24-Nov-42;scrapped 1959
1116;S�o Paulo;Brazil;Minas Geraes-class battleship;12-Jul-10;Sold 1951
1117;Saratoga;USA;Lexington class fleet carrier;16-Nov-27;sunk as a target 1946
1118;Satterlee;USA;Gleaves class destroyer;01-Jul-43;Decommissioned 16 March 1946, scrapped 1972
1119;Saumarez;UK;S class destroyer;01-Jul-43;scrapped 1950
1120;Savannah;USA;Brooklyn-class light cruiser;10-Mar-38;scrapped 1966
1121;Scharnhorst;German;Scharnhorst-class battleship;07-Jan-39;sunk 26 December 1943
